Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (37127900),Ja'Marr Chase,37127900,WR/FLEX,8400,DEN@CIN 12/28/2024 04:30PM ET,CIN,24.68
WR,Puka Nacua (37127902),Puka Nacua,37127902,WR/FLEX,8000,ARI@LAR 12/28/2024 08:10PM ET,LAR,19.57
RB,Chase Brown (37127830),Chase Brown,37127830,RB/FLEX,7600,DEN@CIN 12/28/2024 04:30PM ET,CIN,16.39
RB,Kyren Williams (37127832),Kyren Williams,37127832,RB/FLEX,7500,ARI@LAR 12/28/2024 08:10PM ET,LAR,18.06
RB,James Conner (37127834),James Conner,37127834,RB/FLEX,7400,ARI@LAR 12/28/2024 08:10PM ET,ARI,18
QB,Joe Burrow (37127812),Joe Burrow,37127812,QB,7200,DEN@CIN 12/28/2024 04:30PM ET,CIN,23.59
WR,Tee Higgins (37127904),Tee Higgins,37127904,WR/FLEX,6900,DEN@CIN 12/28/2024 04:30PM ET,CIN,17.57
WR,Ladd McConkey (37127906),Ladd McConkey,37127906,WR/FLEX,6600,LAC@NE 12/28/2024 01:00PM ET,LAC,14.57
WR,Cooper Kupp (37127908),Cooper Kupp,37127908,WR/FLEX,6500,ARI@LAR 12/28/2024 08:10PM ET,LAR,16.37
WR,Courtland Sutton (37127910),Courtland Sutton,37127910,WR/FLEX,6300,DEN@CIN 12/28/2024 04:30PM ET,DEN,14.2
QB,Bo Nix (37127813),Bo Nix,37127813,QB,6200,DEN@CIN 12/28/2024 04:30PM ET,DEN,18.39
TE,Trey McBride (37128006),Trey McBride,37128006,TE/FLEX,6200,ARI@LAR 12/28/2024 08:10PM ET,ARI,14.71
QB,Kyler Murray (37127814),Kyler Murray,37127814,QB,6000,ARI@LAR 12/28/2024 08:10PM ET,ARI,17.96
QB,Justin Herbert (37127815),Justin Herbert,37127815,QB,5900,LAC@NE 12/28/2024 01:00PM ET,LAC,16.06
QB,Drake Maye (37127816),Drake Maye,37127816,QB,5800,LAC@NE 12/28/2024 01:00PM ET,NE,16.57
RB,J.K. Dobbins (37127836),J.K. Dobbins,37127836,RB/FLEX,5800,LAC@NE 12/28/2024 01:00PM ET,LAC,15.64
