Lock,ID,Name,Pos,Team,Opp,Salary,STDV,Value,Vegas,Floor,Ceiling,RnkGPP,RnkCash,Boom,Bust,2X,2.5X,3X,3.5X,4X,4.5X,5X,5.5X,Optimal,Lev,Hero Own,Hero Proj.,User Own,User Proj.,Agg Proj.,Rdm %,Min. Exp.,Max. Exp.,Build Exp.
No,36948084,Saquon Barkley,RB,PHI,vs PIT,8600,10.24,2.49,24.25,14.32,28.24,13,8,18.45,54.67,65.96,49.7,33.84,19.7,10.06,4.58,1.7,0.58,10.52,-0.16,10.68,21.44,10.68,21.44,21.44,0,0,100,
No,36948005,Josh Allen,QB,BUF,@ DET,8500,10.46,2.84,26,17.7,31.38,19,13,10.14,55.03,75.94,61.42,44.86,29.4,17.16,8.88,4.26,1.86,3.84,-0.49,4.33,24.18,4.33,24.18,24.18,0,0,100,
No,36948348,Ja'Marr Chase,WR,CIN,@ TEN,8400,9.84,2.5,26,14.44,27.87,23,5,17.54,54.79,66.06,50.02,33.8,20.24,10.28,4.52,1.72,0.46,11.52,-4.56,16.08,20.98,16.08,20.98,20.98,0,0,100,
No,36948006,Lamar Jackson,QB,BAL,@ NYG,8300,10.75,2.71,29.5,15.31,29.58,12,17,9.05,58.75,70.98,56.6,41.38,26.82,15.68,8,3.58,1.48,3.84,1.56,2.28,22.52,2.28,22.52,22.52,0,0,100,
No,36948086,Derrick Henry,RB,BAL,@ NYG,8300,10.35,2.49,29.5,13.76,27.46,18,7,18.52,54.87,65.04,49.32,33.42,19.9,10.82,5.38,2.42,0.72,13.44,-2.95,16.39,20.65,16.39,20.65,20.65,0,0,100,
No,36948350,Nico Collins,WR,HOU,vs MIA,8100,10.01,2.54,24.25,13.89,27.49,17,4,18.87,53.34,66.62,50.98,35.38,21.44,11.98,5.44,2.16,0.84,11.62,-1.87,13.49,20.6,13.49,20.6,20.60,0,0,100,
No,36948007,Jalen Hurts,QB,PHI,vs PIT,8000,10.06,2.53,24.25,13.31,26.72,22,22,5.87,64.57,65.26,50.4,35.88,22.62,12.68,6.16,2.76,1.06,1.92,-1.74,3.66,20.24,3.66,20.24,20.24,0,0,100,
No,36948352,A.J. Brown,WR,PHI,vs PIT,8000,9.56,2.12,24.25,10.61,23.36,56,33,10.07,67.02,54.28,37.54,23.66,13.12,5.82,2.24,0.78,0.22,1.92,-2.09,4.01,16.99,4.01,16.99,16.99,0,0,100,
No,36948088,De'Von Achane,RB,MIA,@ HOU,7900,9.46,2.39,21.25,12.44,25.15,26,13,14.26,58.84,62.3,45.8,29.62,17.28,8.6,3.78,1.46,0.54,5.12,-2.22,7.34,18.85,7.34,18.85,18.85,0,0,100,
No,36948090,Joe Mixon,RB,HOU,vs MIA,7800,10.94,2.74,24.25,14,28.87,2,5,24.99,47.76,69.3,56.34,41.98,29.62,19.52,10.44,5.14,2.32,16,0.82,15.18,21.34,15.18,21.34,21.34,0,0,100,
No,36948092,Alvin Kamara,RB,NO,vs WAS,7700,9.49,2.47,18,12.96,25.5,22,10,15.93,56.14,65.42,49.28,33.56,20.58,10.64,4.64,2.04,0.6,8.32,-1.56,9.88,19.01,9.88,19.01,19.01,0,0,100,
No,36948354,Amon-Ra St. Brown,WR,DET,vs BUF,7600,9.92,2.55,28.5,12.68,26.24,1,6,18.61,53.4,65.9,50.88,36,22.9,12.92,6.8,3.24,1.2,10.28,0.45,9.83,19.39,9.83,19.39,19.39,0,0,100,
No,36948008,Jayden Daniels,QB,WAS,@ NO,7500,9.97,2.97,25.5,15.79,28.97,7,8,11.06,50.78,76.86,64.4,49.9,34.74,22.2,12.26,5.88,2.72,5.22,0.09,5.13,22.31,5.13,22.31,22.31,0,0,100,
No,36948094,Jahmyr Gibbs,RB,DET,vs BUF,7500,9.75,2.28,28.5,10.62,23.31,7,12,13.14,61.78,58.42,42.86,28.04,16.58,8.72,4.02,1.66,0.62,10.24,3.56,6.68,17.08,6.68,17.08,17.08,0,0,100,
