QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Team Stack,Runback,Stack Positions,Runback Positions,Max Non-QB Team Players,Offensive vs Defensive,Ownership Array
Aidan O'Connell (37123378),Kendre Miller (37123455),Tyjae Spears (37123457),Mike Evans (37123609),Malik Nabers (37123619),Jakobi Meyers (37123627),T.J. Hockenson (37123927),Garrett Wilson (37123625),Dolphins (37124105),49900,134.27,1.1814815203508597e-08,140.19,QB +1 | 1,1,WR,RB,1,8/1,"6.63|4.56|37.25|22.6|13.77|15.69|16.45|9.52|13.72"
Sam Darnold (37123367),Josh Jacobs (37123425),De'Von Achane (37123429),Justin Jefferson (37123605),Josh Downs (37123651),Kevin Austin Jr. (37123711),Jake Ferguson (37123939),Jalen McMillan (37123657),Eagles (37124106),49800,136.62,7.471267178838905e-09,138.19,QB +1 | 1,1,WR,RB,1,8/1,"16.21|13.03|10.05|23.76|28.86|1.64|18.69|13.92|12.03"
Aidan O'Connell (37123378),Saquon Barkley (37123423),Tyjae Spears (37123457),Khalil Shakir (37123635),Josh Downs (37123651),Kevin Austin Jr. (37123711),Brock Bowers (37123921),Mike Evans (37123609),Jaguars (37124107),49800,134.04,2.9166412421465214e-09,154.87,QB +1 | 1,1,TE,WR,1,8/1,"6.63|27.64|37.25|9.47|28.86|1.64|18.5|22.6|2.28"
Baker Mayfield (37123366),Saquon Barkley (37123423),Raheem Blackshear (37123543),Mike Evans (37123609),Josh Downs (37123651),Marquez Valdes-Scantling (37123675),Brock Bowers (37123921),T.J. Hockenson (37123927),Raiders (37124111),49800,131.9,8.632776117048128e-09,149.3,QB +1 | 1,1,WR,RB,1,8/1,"11.0|27.64|3.69|22.6|28.86|2.1|18.5|16.45|18.46"
Mac Jones (37123377),De'Von Achane (37123429),Tyjae Spears (37123457),Justin Jefferson (37123605),Calvin Ridley (37123637),Josh Downs (37123651),Brenton Strange (37123935),Breece Hall (37123441),Raiders (37124111),49800,132.5,1.3417214654626147e-08,153.83,QB +1 | 2,2,TE,RB; WR,1,8/1,"3.49|10.05|37.25|23.76|16.93|28.86|4.59|10.44|18.46"
Aidan O'Connell (37123378),Aaron Jones Sr. (37123443),Tyjae Spears (37123457),A.J. Brown (37123607),Josh Downs (37123651),Marquez Valdes-Scantling (37123675),Brock Bowers (37123921),De'Von Achane (37123429),Jets (37124116),50000,132.0,2.98281121646084e-09,141.22,QB +1 | 1,1,TE,WR,1,8/1,"6.63|22.34|37.25|11.21|28.86|2.1|18.5|10.05|4.28"
Joe Flacco (37123381),Bucky Irving (37123437),Breece Hall (37123441),Malik Nabers (37123619),Josh Downs (37123651),Michael Pittman Jr. (37123655),Brenton Strange (37123935),Justin Jefferson (37123605),Colts (37124102),49800,137.64,1.7946367731938523e-08,146.28,QB +2 | 1,1,WR; WR,WR,1,8/1,"8.5|32.29|10.44|13.77|28.86|12.61|4.59|23.76|11.46"
Sam Darnold (37123367),Rico Dowdle (37123445),Tyjae Spears (37123457),Brian Thomas Jr. (37123617),Jordan Addison (37123623),DeVonta Smith (37123631),Tucker Kraft (37123937),Brock Bowers (37123921),Raiders (37124111),49900,134.28,3.698804612790452e-08,152.01000000000002,QB +1 | 1,1,WR,TE,1,8/1,"16.21|7.71|37.25|20.07|17.47|7.54|8.8|18.5|18.46"
Sam Darnold (37123367),Jonathan Taylor (37123427),Raheem Blackshear (37123543),Jordan Addison (37123623),Jayden Reed (37123629),Adam Thielen (37123633),Brock Bowers (37123921),Dontayvion Wicks (37123685),Dolphins (37124105),50000,131.24,7.689777755978857e-09,126.32,QB +1 | 2,2,WR,WR; FLEX,2,8/1,"16.21|20.56|3.69|17.47|8.14|9.2|18.5|18.83|13.72"
Aidan O'Connell (37123378),Saquon Barkley (37123423),Tyjae Spears (37123457),Mike Evans (37123609),Dontayvion Wicks (37123685),Kevin Austin Jr. (37123711),Brock Bowers (37123921),Garrett Wilson (37123625),Bills (37124101),50000,132.23,2.6094532296647867e-09,145.72000000000003,QB +1 | 1,1,TE,WR,1,8/1,"6.63|27.64|37.25|22.6|18.83|1.64|18.5|9.52|3.11"
