Game,Player,Team,Position,Projected FPTS,Random STDDEV,Random Projections
PHI vs PIT,Saquon Barkley,PHI,RB,21.44,0.0,26.229293545227684
PHI vs PIT,Jalen Hurts,PHI,QB,20.24,0.0,25.725308271461202
PHI vs PIT,A.J. Brown,PHI,WR,16.99,0.0,27.452244324814526
PHI vs PIT,DeVonta Smith,PHI,WR,11.87,0.0,19.395669005641636
PHI vs PIT,Grant Calcaterra,PHI,TE,6.7,0.0,12.79999696037326
PHI vs PIT,Eagles,PHI,DST,8.16,0.0,8.866929538693093
PHI vs PIT,Najee Harris,PIT,RB,13.14,0.0,17.210627002918223
PHI vs PIT,Russell Wilson,PIT,QB,14.0,0.0,30.0418011592804
PHI vs PIT,Jaylen Warren,PIT,RB,9.84,0.0,13.908815063441589
PHI vs PIT,Pat Freiermuth,PIT,TE,7.98,0.0,19.28375102209859
PHI vs PIT,Mike Williams,PIT,WR,6.69,0.0,13.552028760940217
PHI vs PIT,Calvin Austin III,PIT,WR,7.01,0.0,3.103848103358718
PHI vs PIT,Steelers,PIT,DST,5.38,0.0,-10.213412481181988
BUF vs DET,Josh Allen,BUF,QB,24.18,0.0,31.89265572243146
BUF vs DET,James Cook,BUF,RB,12.56,0.0,17.584278418437343
BUF vs DET,Khalil Shakir,BUF,WR,13.22,0.0,25.09808734955187
BUF vs DET,Amari Cooper,BUF,WR,11.29,0.0,21.366158499767707
BUF vs DET,Dalton Kincaid,BUF,TE,9.85,0.0,18.801348910909752
BUF vs DET,Keon Coleman,BUF,WR,7.89,0.0,15.175495235682654
BUF vs DET,Amon-Ra St. Brown,DET,WR,19.39,0.0,28.73074372508565
BUF vs DET,Jahmyr Gibbs,DET,RB,17.08,0.0,23.395187359045643
BUF vs DET,David Montgomery,DET,RB,14.56,0.0,20.04460037730349
BUF vs DET,Jared Goff,DET,QB,20.03,0.0,46.39432266571892
BUF vs DET,Jameson Williams,DET,WR,13.07,0.0,29.25005258549013
BUF vs DET,Sam LaPorta,DET,TE,10.99,0.0,20.019641735617736
BUF vs DET,Tim Patrick,DET,WR,7.55,0.0,-1.7006307691679592
CIN vs TEN,Ja'Marr Chase,CIN,WR,20.98,0.0,27.70236929698894
CIN vs TEN,Joe Burrow,CIN,QB,20.98,0.0,33.97185904888017
CIN vs TEN,Chase Brown,CIN,RB,20.5,0.0,28.057199170580866
CIN vs TEN,Tee Higgins,CIN,WR,17.6,0.0,29.735839676625893
CIN vs TEN,Andrei Iosivas,CIN,WR,5.59,0.0,12.681520147994389
CIN vs TEN,Mike Gesicki,CIN,TE,5.76,0.0,13.282362799893274
CIN vs TEN,Bengals,CIN,DST,7.29,0.0,8.293688469386133
CIN vs TEN,Tony Pollard,TEN,RB,15.09,0.0,21.14723574248908
CIN vs TEN,Calvin Ridley,TEN,WR,14.36,0.0,22.400383535241893
CIN vs TEN,Will Levis,TEN,QB,16.46,0.0,40.81193480215128
CIN vs TEN,Nick Westbrook-Ikhine,TEN,WR,9.03,0.0,23.345452155417043
CIN vs TEN,Tyjae Spears,TEN,RB,7.58,0.0,11.675956410319092
CIN vs TEN,Tyler Boyd,TEN,WR,6.47,0.0,13.270845300818447
CIN vs TEN,Chig Okonkwo,TEN,TE,6.09,0.0,3.6057026004661
CIN vs TEN,Titans,TEN,DST,5.19,0.0,-9.547720427911283
BAL vs NYG,Lamar Jackson,BAL,QB,22.52,0.0,28.68485597639235
BAL vs NYG,Derrick Henry,BAL,RB,20.65,0.0,27.277354512244855
BAL vs NYG,Zay Flowers,BAL,WR,13.9,0.0,24.89760295767024
BAL vs NYG,Justice Hill,BAL,RB,7.48,0.0,10.381465623345504
BAL vs NYG,Rashod Bateman,BAL,WR,7.49,0.0,15.520190434974033
BAL vs NYG,Mark Andrews,BAL,TE,9.15,0.0,17.443424436051416
BAL vs NYG,Ravens,BAL,DST,10.33,0.0,12.205317126116187
BAL vs NYG,Isaiah Likely,BAL,TE,6.86,0.0,12.695800258130312
BAL vs NYG,Malik Nabers,NYG,WR,15.88,0.0,23.088361101698933
BAL vs NYG,Tyrone Tracy Jr.,NYG,RB,12.83,0.0,17.78889228977104
BAL vs NYG,Wan'Dale Robinson,NYG,WR,8.85,0.0,12.262110643123957
BAL vs NYG,Tommy DeVito,NYG,QB,12.77,0.0,37.62934495692857
BAL vs NYG,Darius Slayton,NYG,WR,6.35,0.0,15.44280081209239
HOU vs MIA,Nico Collins,HOU,WR,20.6,0.0,26.252284965882122
HOU vs MIA,Joe Mixon,HOU,RB,21.34,0.0,27.308228412199885
HOU vs MIA,C.J. Stroud,HOU,QB,19.71,0.0,32.357514455906475
HOU vs MIA,Tank Dell,HOU,WR,11.95,0.0,22.0142183228622
HOU vs MIA,John Metchie III,HOU,WR,5.16,0.0,12.35392895370901
HOU vs MIA,Dalton Schultz,HOU,TE,8.72,0.0,16.91099438349561
HOU vs MIA,Texans,HOU,DST,6.35,0.0,6.592086345313873
HOU vs MIA,De'Von Achane,MIA,RB,18.85,0.0,25.274841386833046
HOU vs MIA,Tyreek Hill,MIA,WR,17.17,0.0,25.035981716820654
HOU vs MIA,Tua Tagovailoa,MIA,QB,18.8,0.0,42.301159971696485
HOU vs MIA,Jaylen Waddle,MIA,WR,13.44,0.0,29.20473040546328
HOU vs MIA,Jonnu Smith,MIA,TE,12.36,0.0,6.769165209931444
HOU vs MIA,Dolphins,MIA,DST,5.37,0.0,-17.367277828734736
NO vs WAS,Alvin Kamara,NO,RB,19.01,0.0,24.85191961485818
NO vs WAS,Jake Haener,NO,QB,13.48,0.0,18.427359962818485
NO vs WAS,Kendre Miller,NO,RB,7.2,0.0,9.985297019100695
NO vs WAS,Marquez Valdes-Scantling,NO,WR,9.17,0.0,16.305036699355007
NO vs WAS,Juwan Johnson,NO,TE,9.11,0.0,15.843120344330822
NO vs WAS,Kevin Austin Jr.,NO,WR,6.56,0.0,11.485233179626707
NO vs WAS,Foster Moreau,NO,TE,5.15,0.0,9.583236730542822
NO vs WAS,Jayden Daniels,WAS,QB,22.31,0.0,36.03351591675359
NO vs WAS,Terry McLaurin,WAS,WR,15.0,0.0,31.24641627520647
NO vs WAS,Brian Robinson Jr.,WAS,RB,16.13,0.0,22.36561719386974
NO vs WAS,Jeremy McNichols,WAS,RB,5.07,0.0,7.86424348945374
NO vs WAS,Zach Ertz,WAS,TE,10.88,0.0,20.50406921243689
NO vs WAS,Commanders,WAS,DST,8.56,0.0,9.088446064797473
NO vs WAS,Olamide Zaccheaus,WAS,WR,5.9,0.0,7.069129313585755
NO vs WAS,Dyami Brown,WAS,WR,6.84,0.0,-3.838599010900846
CAR vs DAL,Chuba Hubbard,CAR,RB,21.46,0.0,27.665496712473
CAR vs DAL,Adam Thielen,CAR,WR,12.72,0.0,16.5145676883926
CAR vs DAL,Bryce Young,CAR,QB,16.24,0.0,25.54396131254476
CAR vs DAL,Xavier Legette,CAR,WR,9.6,0.0,17.939943709980813
CAR vs DAL,David Moore,CAR,WR,6.17,0.0,12.624933261014476
CAR vs DAL,Jalen Coker,CAR,WR,5.67,0.0,11.241952459525212
CAR vs DAL,Panthers,CAR,DST,6.85,0.0,8.39822445223509
CAR vs DAL,CeeDee Lamb,DAL,WR,16.54,0.0,23.554809106036338
CAR vs DAL,Rico Dowdle,DAL,RB,17.09,0.0,22.76985768863773
CAR vs DAL,Cooper Rush,DAL,QB,14.76,0.0,34.707829627679615
CAR vs DAL,Brandin Cooks,DAL,WR,6.27,0.0,19.179670004880943
CAR vs DAL,Jake Ferguson,DAL,TE,10.04,0.0,8.359699455004577
CAR vs DAL,Cowboys,DAL,DST,5.7,0.0,-13.351994427856617
LAC vs TB,Ladd McConkey,LAC,WR,16.06,0.0,21.20829033393233
LAC vs TB,Justin Herbert,LAC,QB,19.15,0.0,29.946371868411894
LAC vs TB,Gus Edwards,LAC,RB,9.43,0.0,13.345296077670016
LAC vs TB,Quentin Johnston,LAC,WR,9.93,0.0,19.401557317588882
LAC vs TB,Kimani Vidal,LAC,RB,7.65,0.0,10.918843772694318
LAC vs TB,Joshua Palmer,LAC,WR,8.81,0.0,16.8962360262056
LAC vs TB,Chargers,LAC,DST,6.85,0.0,8.390297210999769
LAC vs TB,Stone Smartt,LAC,TE,8.04,0.0,15.077116781237745
LAC vs TB,Mike Evans,TB,WR,15.93,0.0,24.105937889917655
LAC vs TB,Baker Mayfield,TB,QB,17.42,0.0,39.23432359927076
LAC vs TB,Rachaad White,TB,RB,16.35,0.0,23.720288930802237
LAC vs TB,Cade Otton,TB,TE,10.13,0.0,24.208524383211135
LAC vs TB,Sean Tucker,TB,RB,5.77,0.0,9.602656112338153
LAC vs TB,Sterling Shepard,TB,WR,9.02,0.0,17.00860256939838
