Game,Player,Team,Position,Projected FPTS,Random STDDEV,Uncorrelated Projections,Correlated Projections,Adjusted Projections
PHI vs PIT,Saquon Barkley,PHI,RB,21.44,0.0,21.44,26.229293545227684,22.637323386306925
PHI vs PIT,Jalen Hurts,PHI,QB,20.24,0.0,20.24,25.725308271461202,21.6113270678653
PHI vs PIT,A.J. Brown,PHI,WR,16.99,0.0,16.99,27.452244324814526,19.605561081203632
PHI vs PIT,DeVonta Smith,PHI,WR,11.87,0.0,11.87,19.395669005641636,13.751417251410409
PHI vs PIT,Grant Calcaterra,PHI,TE,6.7,0.0,6.7,12.79999696037326,8.224999240093315
PHI vs PIT,Eagles,PHI,DST,8.16,0.0,8.16,8.866929538693093,8.336732384673272
PHI vs PIT,Najee Harris,PIT,RB,13.14,0.0,13.14,17.210627002918223,14.157656750729556
PHI vs PIT,Russell Wilson,PIT,QB,14.0,0.0,14.0,30.0418011592804,18.0104502898201
PHI vs PIT,Jaylen Warren,PIT,RB,9.84,0.0,9.84,13.908815063441589,10.857203765860397
PHI vs PIT,Pat Freiermuth,PIT,TE,7.98,0.0,7.98,19.28375102209859,10.805937755524647
PHI vs PIT,Mike Williams,PIT,WR,6.69,0.0,6.69,13.552028760940217,8.405507190235054
PHI vs PIT,Calvin Austin III,PIT,WR,7.01,0.0,7.01,3.103848103358718,6.03346202583968
PHI vs PIT,Steelers,PIT,DST,5.38,0.0,5.38,-10.213412481181988,1.481646879704503
BUF vs DET,Josh Allen,BUF,QB,24.18,0.0,24.18,31.89265572243146,26.108163930607862
BUF vs DET,James Cook,BUF,RB,12.56,0.0,12.56,17.584278418437343,13.816069604609336
BUF vs DET,Khalil Shakir,BUF,WR,13.22,0.0,13.22,25.09808734955187,16.189521837387968
BUF vs DET,Amari Cooper,BUF,WR,11.29,0.0,11.29,21.366158499767707,13.809039624941926
BUF vs DET,Dalton Kincaid,BUF,TE,9.85,0.0,9.85,18.801348910909752,12.087837227727437
BUF vs DET,Keon Coleman,BUF,WR,7.89,0.0,7.89,15.175495235682654,9.711373808920662
BUF vs DET,Amon-Ra St. Brown,DET,WR,19.39,0.0,19.39,28.73074372508565,21.72518593127141
BUF vs DET,Jahmyr Gibbs,DET,RB,17.08,0.0,17.08,23.395187359045643,18.658796839761408
BUF vs DET,David Montgomery,DET,RB,14.56,0.0,14.56,20.04460037730349,15.931150094325872
